Mob.JNAME,DBWeight,MVPWeight
OBEAUNE,5,,1044
ORC_ARCHER,3,,1189
ORC_LADY,3,,1273
ORC_LORD,1,,1190
ORC_SKELETON,3,,1152
ORC_ZOMBIE,3,,1153
ORC_HERO,1,,1087
ORC_WARRIOR,5,,1023
OSIRIS,5,,1038
PASANA,5,,1154
PECOPECO,30,,1019
PENOMENA,5,,1216
PEST,3,,1256
PETIT,5,,1155
PETIT_,5,,1156
PHARAOH,3,,1157
PHEN,5,,1158
PHENDARK,3,,1202
PHREEONI,1,,1159
PICKY,50,,1049
PICKY_,50,,1050
PIERE,20,,1160
PIRATE_SKEL,8,,1071
PLANKTON,8,,1161
POISON_SPORE,20,,1077
POPORING,30,,1031
PORING,50,,1002
PORING_,10,,1062
PUNK,3,,1199
RAFFLESIA,3,,1162
RAGGLER,3,,1254
RAYDRIC,3,,1163
RAYDRIC_ARCHER,3,,1276
REQUIEM,5,,1164
RIDEWORD,3,,1195
ROCKER,50,,1052
RODA_FROG,50,,1012
RYBIO,5,,1201
SAGEWORM,3,,1281
SAND_MAN,5,,1165
SASQUATCH,3,,1243
SAVAGE,8,,1166
SAVAGE_BABE,8,,1167
SCORPION,5,,1001
SCORPION_KING,3,,1168
SEAHORSE,3,,1043
SIDE_WINDER,3,,1037
SKEL_PRISONER,3,,1196
SKEL_WORKER,5,,1169
SKELETON,5,,1076
SMOKIE,8,,1056
SMOKING_ORC,3,,1235
SNAKE,8,,1025
SOHEE,5,,1170
SOLDIER_SKELETON,5,,1028
SPORE,50,,1014
STAINER,5,,1174
STALACTIC_GOLEM,3,,1278
STEAM_GOBLIN,3,,1280
STEEL_CHONCHON,3,,1042
STEM_WORM,5,,1215
STING,1,,1207
STROUF,3,,1065
SWORD_FISH,5,,1069
TAROU,30,,1175
THARA_FROG,20,,1034
THIEF_BUG,50,,1051
THIEF_BUG_,30,,1053
THIEF_BUG__,30,,1054
TIRFING,3,,1204
TOAD,3,,1089
TRI_JOINT,3,,1279
TURTLE,3,,1075
VADON,3,,1066
VAGABOND_WOLF,3,,1092
VERIT,3,,1032
VITATA,5,,1176
VOCAL,3,,1088
WANDER_MAN,1,,1208
WERE_WOLF,1,,1022
WHISPER,5,,1179
WHISPER_BOSS,5,,1186
WILD_ROSE,3,,1261
WILOW,50,,1010
WIND_GHOST,3,,1263
WOLF,50,,1013
WORM_TAIL,20,,1024
WRAITH,3,,1192
YOYO,10,,1057
ZENORC,5,,1177
ZEROM,5,,1178
ZHERLTHSH,3,,1200
ZOMBIE,50,,1015
ZOMBIE_PRISONER,5,,1197
