1982340,999999999,999999999,999999999,999999999,4559382,999999999,999999999,999999999
2230113,999999999,999999999,999999999,999999999,5129260,999999999,999999999,999999999
2386162,999999999,999999999,999999999,999999999,5488173,999999999,999999999,999999999
2547417,999999999,999999999,999999999,999999999,5859059,999999999,999999999,999999999
2713878,999999999,999999999,999999999,999999999,6241919,999999999,999999999,999999999
3206160,999999999,999999999,999999999,999999999,7374168,999999999,999999999,999999999
3681024,999999999,999999999,999999999,999999999,9570662,999999999,999999999,999999999
4022472,999999999,999999999,999999999,999999999,10458427,999999999,999999999,999999999
4377024,999999999,999999999,999999999,999999999,11380262,999999999,999999999,999999999
4744680,999999999,999999999,999999999,999999999,12336168,999999999,999999999,999999999
5125440,999999999,999999999,999999999,999999999,13326144,999999999,999999999,999999999
5767272,999999999,999999999,999999999,999999999,14994907,999999999,999999999,999999999
6204000,999999999,999999999,999999999,999999999,16130400,999999999,999999999,999999999
6655464,999999999,999999999,999999999,999999999,17304206,999999999,999999999,999999999
7121664,999999999,999999999,999999999,999999999,18516326,999999999,999999999,999999999
7602600,999999999,999999999,999999999,999999999,19766760,999999999,999999999,999999999
9738720,999999999,999999999,999999999,999999999,29216160,999999999,999999999,999999999
11649960,999999999,999999999,999999999,999999999,34949880,999999999,999999999,999999999
13643520,999999999,999999999,999999999,999999999,40930560,999999999,999999999,999999999
18339300,999999999,999999999,999999999,999999999,55017900,999999999,999999999,999999999
23836800,999999999,999999999,999999999,999999999,71510400,999999999,999999999,999999999
35658000,999999999,999999999,999999999,999999999,106974000,999999999,999999999,999999999
48687000,999999999,999999999,999999999,999999999,146061000,999999999,999999999,999999999
58135000,999999999,999999999,999999999,999999999,174405000,999999999,999999999,999999999
99999999,999999999,999999999,999999999,999999999,299999997,999999999,999999999,999999999
999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999,999999999
