MapName,Memo,Save,Teleport,pvp,GuildPVP
ordeal_a00.gat,memo,save,teleport,pvp,nopvpg
ordeal_a02.gat,memo,save,teleport,pvp,nopvpg
pay_arche.gat,memo,save,teleport,pvp,nopvpg
pay_dun00.gat,memo,save,teleport,pvp,nopvpg
pay_dun01.gat,memo,save,teleport,pvp,nopvpg
pay_dun02.gat,memo,save,teleport,pvp,nopvpg
pay_dun03.gat,memo,save,teleport,pvp,nopvpg
pay_dun04.gat,memo,save,teleport,pvp,nopvpg
pay_fild01.gat,memo,save,teleport,pvp,nopvpg
pay_fild02.gat,memo,save,teleport,pvp,nopvpg
pay_fild03.gat,memo,save,teleport,pvp,nopvpg
pay_fild04.gat,memo,save,teleport,pvp,nopvpg
pay_fild05.gat,memo,save,teleport,pvp,nopvpg
pay_fild06.gat,memo,save,teleport,pvp,nopvpg
pay_fild07.gat,memo,save,teleport,pvp,nopvpg
pay_fild08.gat,memo,save,teleport,pvp,nopvpg
pay_fild09.gat,memo,save,teleport,pvp,nopvpg
pay_fild10.gat,memo,save,teleport,pvp,nopvpg
pay_fild11.gat,memo,save,teleport,pvp,nopvpg
pay_gld.gat,memo,save,teleport,pvp,nopvpg
payg_cas01.gat,nomemo,nosave,noteleport,nopvp,pvpg
payg_cas02.gat,nomemo,nosave,noteleport,nopvp,pvpg
payg_cas03.gat,nomemo,nosave,noteleport,nopvp,pvpg
payg_cas04.gat,nomemo,nosave,noteleport,nopvp,pvpg
payg_cas05.gat,nomemo,nosave,noteleport,nopvp,pvpg
payon.gat,memo,save,teleport,pvp,nopvpg
payon_in01.gat,memo,save,teleport,pvp,nopvpg
payon_in02.gat,memo,save,teleport,pvp,nopvpg
prontera.gat,memo,save,teleport,pvp,nopvpg
prt_are_in.gat,memo,save,teleport,pvp,nopvpg
prt_are01.gat,memo,save,teleport,pvp,nopvpg
prt_castle.gat,memo,save,teleport,pvp,nopvpg
prt_church.gat,memo,save,teleport,pvp,nopvpg
prt_fild00.gat,memo,save,teleport,pvp,nopvpg
prt_fild01.gat,memo,save,teleport,pvp,nopvpg
prt_fild02.gat,memo,save,teleport,pvp,nopvpg
prt_fild03.gat,memo,save,teleport,pvp,nopvpg
prt_fild04.gat,memo,save,teleport,pvp,nopvpg
prt_fild05.gat,memo,save,teleport,pvp,nopvpg
prt_fild06.gat,memo,save,teleport,pvp,nopvpg
prt_fild07.gat,memo,save,teleport,pvp,nopvpg
prt_fild08.gat,memo,save,teleport,pvp,nopvpg
prt_fild09.gat,memo,save,teleport,pvp,nopvpg
prt_fild10.gat,memo,save,teleport,pvp,nopvpg
prt_fild11.gat,memo,save,teleport,pvp,nopvpg
prt_gld.gat,memo,save,teleport,pvp,nopvpg
prt_in.gat,memo,save,teleport,pvp,nopvpg
prt_maze01.gat,memo,save,teleport,pvp,nopvpg
prt_maze02.gat,memo,save,teleport,pvp,nopvpg
prt_maze03.gat,memo,save,teleport,pvp,nopvpg
prt_monk.gat,memo,save,teleport,pvp,nopvpg
prt_sewb1.gat,memo,save,teleport,pvp,nopvpg
prt_sewb2.gat,memo,save,teleport,pvp,nopvpg
prt_sewb3.gat,memo,save,teleport,pvp,nopvpg
prt_sewb4.gat,memo,save,teleport,pvp,nopvpg
prtg_cas01.gat,nomemo,nosave,noteleport,nopvp,pvpg
prtg_cas02.gat,nomemo,nosave,noteleport,nopvp,pvpg
prtg_cas03.gat,nomemo,nosave,noteleport,nopvp,pvpg
prtg_cas04.gat,nomemo,nosave,noteleport,nopvp,pvpg
prtg_cas05.gat,nomemo,nosave,noteleport,nopvp,pvpg
pvp_2vs2.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_room.gat,memo,nosave,teleport,pvp,nopvpg
pvp_n_room.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_room.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_1-1.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_1-2.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_1-3.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_1-4.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_1-5.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_2-1.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_2-2.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_2-3.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_2-4.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_2-5.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_3-1.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_3-2.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_3-3.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_3-4.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_3-5.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_4-1.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_4-2.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_4-3.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_4-4.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_4-5.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_5-1.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_5-2.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_5-3.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_5-4.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_5-5.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_6-1.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_6-2.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_6-3.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_6-4.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_6-5.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_7-1.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_7-2.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_7-3.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_7-4.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_7-5.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_8-1.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_8-2.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_8-3.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_8-4.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_n_8-5.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_1-1.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_1-2.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_1-3.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_1-4.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_1-5.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_2-1.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_2-2.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_2-3.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_2-4.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_2-5.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_3-1.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_3-2.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_3-3.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_3-4.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_3-5.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_4-1.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_4-2.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_4-3.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_4-4.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_4-5.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_5-1.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_5-2.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_5-3.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_5-4.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_5-5.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_6-1.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_6-2.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_6-3.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_6-4.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_6-5.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_7-1.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_7-2.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_7-3.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_7-4.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_7-5.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_8-1.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_8-2.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_8-3.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_8-4.gat,nomemo,nosave,teleport,pvp,nopvpg
pvp_y_8-5.gat,nomemo,nosave,teleport,pvp,nopvpg
quiz_00.gat,memo,save,teleport,pvp,nopvpg
quiz_01.gat,memo,save,teleport,pvp,nopvpg
rwc01.gat,nomemo,nosave,teleport,pvp,nopvpg
rwc02.gat,nomemo,nosave,teleport,pvp,nopvpg
rwc03.gat,nomemo,nosave,teleport,pvp,nopvpg
sec_in01.gat,memo,save,teleport,pvp,nopvpg
sec_in02.gat,memo,save,teleport,pvp,nopvpg
sec_pri.gat,memo,save,teleport,pvp,nopvpg
siege_test.gat,memo,save,teleport,pvp,nopvpg
sword_1-1.gat,nomemo,nosave,noteleport,pvp,nopvpg
sword_2-1.gat,nomemo,nosave,noteleport,pvp,nopvpg
sword_3-1.gat,nomemo,nosave,noteleport,pvp,nopvpg
treasure01.gat,memo,save,teleport,pvp,nopvpg
treasure02.gat,memo,save,teleport,pvp,nopvpg
tur_dun01.gat,memo,save,teleport,pvp,nopvpg
tur_dun02.gat,memo,save,teleport,pvp,nopvpg
tur_dun03.gat,memo,save,teleport,pvp,nopvpg
tur_dun04.gat,memo,save,teleport,pvp,nopvpg
tur_dun05.gat,memo,save,teleport,pvp,nopvpg
tur_dun06.gat,memo,save,teleport,pvp,nopvpg
um_dun01.gat,memo,save,teleport,pvp,nopvpg
um_dun02.gat,memo,save,teleport,pvp,nopvpg
um_fild01.gat,memo,save,teleport,pvp,nopvpg
um_fild02.gat,memo,save,teleport,pvp,nopvpg
um_fild03.gat,memo,save,teleport,pvp,nopvpg
um_fild04.gat,memo,save,teleport,pvp,nopvpg
um_in.gat,memo,save,teleport,pvp,nopvpg
umbala.gat,memo,save,teleport,pvp,nopvpg
valkyrie.gat,nomemo,save,teleport,pvp,nopvpg
xmas.gat,memo,save,teleport,pvp,nopvpg
xmas_dun01.gat,memo,save,teleport,pvp,nopvpg
xmas_dun02.gat,memo,save,teleport,pvp,nopvpg
xmas_fild01.gat,memo,save,teleport,pvp,nopvpg
xmas_in.gat,memo,save,teleport,pvp,nopvpg
yggdrasil01.gat,nomemo,nosave,noteleport,nopvp,nopvpg
yuno.gat,memo,save,teleport,pvp,nopvpg
yuno_fild01.gat,memo,save,teleport,pvp,nopvpg
yuno_fild02.gat,memo,save,teleport,pvp,nopvpg
yuno_fild03.gat,memo,save,teleport,pvp,nopvpg
yuno_fild04.gat,memo,save,teleport,pvp,nopvpg
yuno_in01.gat,memo,save,teleport,pvp,nopvpg
yuno_in02.gat,memo,save,teleport,pvp,nopvpg
yuno_in03.gat,memo,save,teleport,pvp,nopvpg
yuno_in04.gat,memo,save,teleport,pvp,nopvpg
yuno_in05.gat,memo,save,teleport,pvp,nopvpg
