ID,Name,STATUS,SKILL_ID,SKILL_LV,PERCENT,CASTING_TIME,COOLDOWN_TIME,DISPEL,IF,IfCondition
1025,SNAKE,BERSERK_ST,NPC_GROUNDATTACK,1,100,0,15000,0,0,0
1025,SNAKE,BERSERK_ST,NPC_POISON,3,100,1000,10000,NO_DISPEL,0,0
1026,MUNAK,IDLE_ST,NPC_PROVOCATION,1,2,0,0,0,0,0
1026,MUNAK,IDLE_ST,NPC_EMOTION,1,5,0,10000,0,0,0
1026,MUNAK,BERSERK_ST,NPC_STUNATTACK,4,100,1500,10000,NO_DISPEL,0,0
1026,MUNAK,ANGRY_ST,NPC_STUNATTACK,4,100,1500,10000,NO_DISPEL,0,0
1026,MUNAK,BERSERK_ST,NPC_STUNATTACK,4,300,1500,10000,NO_DISPEL,IF_HP,30
1028,SOLDIER_SKELETON,RUSH_ST,NPC_EMOTION,1,15,0,10000,0,0,0
1028,SOLDIER_SKELETON,BERSERK_ST,NPC_COMBOATTACK,1,100,0,10000,NO_DISPEL,0,0
1028,SOLDIER_SKELETON,ANGRY_ST,NPC_COMBOATTACK,1,100,0,10000,NO_DISPEL,0,0
1028,SOLDIER_SKELETON,BERSERK_ST,NPC_COMBOATTACK,1,100,0,10000,NO_DISPEL,IF_HP,30
1029,ISIS,BERSERK_ST,NPC_DARKNESSATTACK,2,100,0,15000,0,0,0
1029,ISIS,IDLE_ST,NPC_PROVOCATION,1,2,0,0,0,0,0
1029,ISIS,RUSH_ST,AL_INCAGI,1,100,1000,120000,0,0,0
1030,ANACONDAQ,BERSERK_ST,NPC_POISONATTACK,1,100,0,15000,0,0,0
1030,ANACONDAQ,BERSERK_ST,TF_POISON,3,100,1500,10000,NO_DISPEL,0,0
1030,ANACONDAQ,BERSERK_ST,TF_POISON,3,300,1500,10000,NO_DISPEL,IF_HP,30
1031,POPORING,BERSERK_ST,NPC_POISONATTACK,1,100,0,15000,0,0,0
1031,POPORING,IDLE_ST,NPC_PROVOCATION,1,2,0,0,0,0,0
1031,POPORING,MOVEITEM_ST,NPC_EMOTION,1,15,0,10000,0,0,0
1031,POPORING,BERSERK_ST,NPC_POISON,3,100,1000,10000,NO_DISPEL,0,0
1032,VERIT,MOVEITEM_ST,NPC_EMOTION,1,15,0,10000,0,0,0
1032,VERIT,BERSERK_ST,NPC_POISON,4,100,1000,10000,NO_DISPEL,0,0
1032,VERIT,BERSERK_ST,NPC_BLOODDRAIN,1,100,0,10000,0,IF_HP,70
1033,ELDER_WILOW,BERSERK_ST,NPC_FIREATTACK,1,200,0,7500,0,0,0
1033,ELDER_WILOW,RUSH_ST,MG_NAPALMBEAT,10,100,1000,10000,0,0,0
1033,ELDER_WILOW,RUSH_ST,MG_FIREBOLT,3,100,4000,10000,0,0,0
1033,ELDER_WILOW,BERSERK_ST,MG_FIREBOLT,1,100,4000,10000,0,0,0
1033,ELDER_WILOW,BERSERK_ST,MG_FIREBOLT,1,300,4000,10000,0,IF_HP,30
1033,ELDER_WILOW,RUSH_ST,MG_NAPALMBEAT,10,1000,1000,10000,0,IF_MAGICLOCKED,0
1033,ELDER_WILOW,RUSH_ST,MG_FIREBOLT,3,100,4000,10000,0,IF_RANGEATTACKED,0
1034,THARA_FROG,BERSERK_ST,NPC_WATERATTACK,1,200,0,7500,0,0,0
1035,HUNTER_FLY,BERSERK_ST,NPC_WINDATTACK,2,200,0,7500,0,0,0
1035,HUNTER_FLY,ANGRY_ST,NPC_WINDATTACK,2,200,0,7500,0,0,0
1035,HUNTER_FLY,RUSH_ST,BS_ADRENALINE,1,10,3000,30000,0,0,0
1035,HUNTER_FLY,IDLE_ST,NPC_PROVOCATION,1,2,0,0,0,0,0
1035,HUNTER_FLY,BERSERK_ST,NPC_COMBOATTACK,1,100,0,10000,NO_DISPEL,0,0
1035,HUNTER_FLY,ANGRY_ST,NPC_COMBOATTACK,1,100,0,10000,NO_DISPEL,0,0
1035,HUNTER_FLY,RUSH_ST,NPC_CHANGEFIRE,1,1000,1000,300000,NO_DISPEL,IF_HP,50
1035,HUNTER_FLY,FOLLOW_ST,NPC_CHANGEFIRE,1,1000,1000,300000,NO_DISPEL,IF_HP,50
1035,HUNTER_FLY,BERSERK_ST,NPC_CHANGEFIRE,1,1000,1000,300000,NO_DISPEL,IF_HP,50
1035,HUNTER_FLY,ANGRY_ST,NPC_CHANGEFIRE,1,1000,1000,300000,NO_DISPEL,IF_HP,50
1035,HUNTER_FLY,BERSERK_ST,NPC_BLOODDRAIN,1,100,0,0,0,IF_HP,70
1035,HUNTER_FLY,ANGRY_ST,NPC_COMBOATTACK,1,300,0,10000,NO_DISPEL,IF_HP,30
1036,GHOUL,BERSERK_ST,NPC_POISON,4,100,1000,10000,NO_DISPEL,0,0
1036,GHOUL,ANGRY_ST,NPC_POISON,4,100,1000,10000,NO_DISPEL,0,0
1036,GHOUL,BERSERK_ST,NPC_POISON,4,300,1000,10000,NO_DISPEL,IF_HP,30
1037,SIDE_WINDER,BERSERK_ST,NPC_POISONATTACK,2,100,0,15000,0,0,0
1037,SIDE_WINDER,BERSERK_ST,NPC_POISON,5,50,1000,10000,NO_DISPEL,0,0
1037,SIDE_WINDER,BERSERK_ST,KN_PIERCE,1,50,1500,5000,NO_DISPEL,0,0
1037,SIDE_WINDER,BERSERK_ST,NPC_POISON,5,150,1000,10000,NO_DISPEL,IF_HP,30
1037,SIDE_WINDER,BERSERK_ST,KN_PIERCE,1,150,1500,5000,NO_DISPEL,IF_HP,30
1038,OSIRIS,BERSERK_ST,WZ_QUAGMIRE,5,400,0,0,0,0,0
1038,OSIRIS,RUSH_ST,WZ_QUAGMIRE,5,200,0,0,0,0,0
1038,OSIRIS,BERSERK_ST,AS_VENOMDUST,8,400,0,0,0,0,0
1038,OSIRIS,RUSH_ST,AS_VENOMDUST,8,200,0,0,0,0,0
1038,OSIRIS,BERSERK_ST,WZ_EARTHSPIKE,5,500,1500,2000,NO_DISPEL,0,0
1038,OSIRIS,RUSH_ST,WZ_EARTHSPIKE,5,300,1500,2000,NO_DISPEL,0,0
1038,OSIRIS,BERSERK_ST,SM_BASH,10,300,0,5000,0,0,0
1038,OSIRIS,RUSH_ST,NPC_CURSEATTACK,1,100,0,10000,0,0,0
1038,OSIRIS,BERSERK_ST,NPC_PIERCINGATT,1,200,0,5000,0,0,0
1038,OSIRIS,RUSH_ST,NPC_GUIDEDATTACK,1,200,0,5000,0,0,0
1038,OSIRIS,BERSERK_ST,NPC_POISONATTACK,5,200,0,5000,0,0,0
1038,OSIRIS,BERSERK_ST,MG_STONECURSE,8,500,1500,3000,NO_DISPEL,IF_ENEMYCOUNT,2
1038,OSIRIS,RUSH_ST,AL_INCAGI,1,500,3000,120000,0,IF_HP,50
1038,OSIRIS,BERSERK_ST,KN_TWOHANDQUICKEN,10,500,3000,300000,0,IF_HP,20
1038,OSIRIS,BERSERK_ST,NPC_SUMMONMONSTER,1,1000,3000,3600000,NO_DISPEL,IF_HP,5
1038,OSIRIS,BERSERK_ST,WZ_EARTHSPIKE,5,500,1500,2000,NO_DISPEL,IF_RANGEATTACKED,0
1038,OSIRIS,RUSH_ST,WZ_EARTHSPIKE,5,300,1500,2000,NO_DISPEL,IF_RANGEATTACKED,0
1038,OSIRIS,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
1038,OSIRIS,RMOVE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
1038,OSIRIS,IDLE_ST,WZ_EARTHSPIKE,5,800,1500,2000,NO_DISPEL,IF_RUDEATTACK,0
1038,OSIRIS,RMOVE_ST,WZ_EARTHSPIKE,5,800,1500,2000,NO_DISPEL,IF_RUDEATTACK,0
1038,OSIRIS,BERSERK_ST,WZ_EARTHSPIKE,5,200,1500,2000,NO_DISPEL,IF_SKILLUSE,MG_FIREWALL
1038,OSIRIS,RUSH_ST,WZ_EARTHSPIKE,5,200,1500,2000,NO_DISPEL,IF_SKILLUSE,MG_FIREWALL
1038,OSIRIS,RUSH_ST,NPC_SUMMONSLAVE,1,1000,3000,3600000,NO_DISPEL,IF_SLAVENUM,2
1038,OSIRIS,BERSERK_ST,NPC_SUMMONSLAVE,1,1000,3000,3600000,NO_DISPEL,IF_SLAVENUM,2
1039,BAPHOMET,BERSERK_ST,NPC_GUIDEDATTACK,1,200,0,5000,0,0,0
1039,BAPHOMET,IDLE_ST,AL_TELEPORT,1,100,0,20000,0,0,0
1039,BAPHOMET,BERSERK_ST,NPC_CURSEATTACK,1,100,0,10000,0,0,0
1039,BAPHOMET,BERSERK_ST,BS_MAXIMIZE,1,100,0,20000,0,0,0
1039,BAPHOMET,BERSERK_ST,NPC_PIERCINGATT,1,200,0,5000,0,0,0
1039,BAPHOMET,BERSERK_ST,NPC_WINDATTACK,5,200,0,5000,0,0,0
1039,BAPHOMET,BERSERK_ST,WZ_VERMILION,10,500,1500,4000,NO_DISPEL,IF_ENEMYCOUNT,2
1039,BAPHOMET,RUSH_ST,WZ_VERMILION,10,500,1500,4000,NO_DISPEL,IF_ENEMYCOUNT,2
1039,BAPHOMET,BERSERK_ST,KN_BRANDISHSPEAR,5,1000,0,3000,0,IF_ENEMYCOUNT,2
1039,BAPHOMET,RUSH_ST,AL_INCAGI,1,500,3000,120000,NO_DISPEL,IF_HP,50
1039,BAPHOMET,BERSERK_ST,KN_TWOHANDQUICKEN,10,500,3000,300000,NO_DISPEL,IF_HP,20
1039,BAPHOMET,BERSERK_ST,NPC_SUMMONMONSTER,1,1000,3000,3600000,NO_DISPEL,IF_HP,5
1039,BAPHOMET,RUSH_ST,WZ_VERMILION,10,500,1500,4000,NO_DISPEL,IF_RANGEATTACKED,0
1039,BAPHOMET,BERSERK_ST,WZ_VERMILION,10,500,1500,4000,NO_DISPEL,IF_RANGEATTACKED,0
1039,BAPHOMET,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
1039,BAPHOMET,RMOVE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
1039,BAPHOMET,IDLE_ST,WZ_VERMILION,10,800,1500,4000,NO_DISPEL,IF_RUDEATTACK,0
1039,BAPHOMET,RMOVE_ST,WZ_VERMILION,10,800,1500,4000,NO_DISPEL,IF_RUDEATTACK,0
1039,BAPHOMET,RUSH_ST,WZ_VERMILION,10,800,1500,4000,NO_DISPEL,IF_SKILLUSE,MG_FIREWALL
1039,BAPHOMET,BERSERK_ST,WZ_VERMILION,10,800,1500,4000,NO_DISPEL,IF_SKILLUSE,MG_FIREWALL
1039,BAPHOMET,RUSH_ST,NPC_SUMMONSLAVE,1,1000,3000,3600000,NO_DISPEL,IF_SLAVENUM,2
1039,BAPHOMET,BERSERK_ST,NPC_SUMMONSLAVE,1,1000,3000,3600000,NO_DISPEL,IF_SLAVENUM,2
1040,GOLEM,IDLE_ST,NPC_EMOTION,1,5,0,10000,0,0,0
1040,GOLEM,BERSERK_ST,NPC_STUNATTACK,4,300,1500,10000,NO_DISPEL,IF_HP,30
1040,GOLEM,BERSERK_ST,NPC_STUNATTACK,4,100,1500,10000,NO_DISPEL,0,0
1041,MUMMY,BERSERK_ST,NPC_COMBOATTACK,1,100,0,10000,NO_DISPEL,0,0
1041,MUMMY,ANGRY_ST,NPC_COMBOATTACK,1,100,0,10000,NO_DISPEL,0,0
1041,MUMMY,BERSERK_ST,NPC_COMBOATTACK,1,300,0,10000,NO_DISPEL,IF_HP,30
1042,STEEL_CHONCHON,IDLE_ST,NPC_PROVOCATION,1,2,0,0,0,0,0
1042,STEEL_CHONCHON,IDLE_ST,AL_HEAL,1,10,3000,60000,0,0,0
1042,STEEL_CHONCHON,BERSERK_ST,NPC_SILENCEATTACK,5,100,0,10000,NO_DISPEL,0,0
1042,STEEL_CHONCHON,BERSERK_ST,NPC_WINDATTACK,1,100,0,15000,0,0,0
1044,OBEAUNE,BERSERK_ST,NPC_WATERATTACK,2,200,0,7500,0,0,0
1044,OBEAUNE,RUSH_ST,NPC_EMOTION,1,15,0,10000,0,0,0
1044,OBEAUNE,RUSH_ST,PR_LEXDIVINA,5,100,3500,10000,0,0,0
1044,OBEAUNE,RUSH_ST,TF_DETOXIFY,1,500,0,10000,0,IF_COMRADECONDITION,HEALTH_POISON
1044,OBEAUNE,BERSERK_ST,TF_DETOXIFY,1,500,0,10000,0,IF_COMRADECONDITION,HEALTH_POISON
1044,OBEAUNE,RUSH_ST,TF_DETOXIFY,1,500,0,10000,0,IF_CONDITION,HEALTH_POISON
1044,OBEAUNE,BERSERK_ST,TF_DETOXIFY,1,500,0,10000,0,IF_CONDITION,HEALTH_POISON
1045,MARC,BERSERK_ST,NPC_WATERATTACK,2,200,0,7500,0,0,0
1045,MARC,ANGRY_ST,NPC_WATERATTACK,2,200,0,7500,0,0,0
1046,DOPPELGANGER,IDLE_ST,AL_TELEPORT,1,100,0,30000,0,0,0
1046,DOPPELGANGER,BERSERK_ST,KN_PIERCE,8,100,0,10000,0,0,0
1046,DOPPELGANGER,BERSERK_ST,NPC_GUIDEDATTACK,1,200,0,5000,0,0,0
1046,DOPPELGANGER,BERSERK_ST,MG_FROSTDIVER,10,500,1500,10000,NO_DISPEL,0,0
1046,DOPPELGANGER,RUSH_ST,MG_FROSTDIVER,10,500,1500,10000,NO_DISPEL,0,0
1046,DOPPELGANGER,BERSERK_ST,NPC_BLINDATTACK,1,100,0,10000,0,0,0
1046,DOPPELGANGER,BERSERK_ST,BS_MAXIMIZE,1,100,0,20000,0,0,0
1046,DOPPELGANGER,BERSERK_ST,NPC_PIERCINGATT,1,200,0,5000,0,0,0
1046,DOPPELGANGER,BERSERK_ST,KN_AUTOCOUNTER,5,200,0,0,0,0,0
1046,DOPPELGANGER,BERSERK_ST,NPC_DARKNESSATTACK,5,200,0,5000,0,0,0
1046,DOPPELGANGER,BERSERK_ST,AL_HEAL,10,1000,0,2000,0,IF_COMRADEHP,80
1046,DOPPELGANGER,RUSH_ST,AL_HEAL,10,1000,0,2000,0,IF_COMRADEHP,80
1046,DOPPELGANGER,IDLE_ST,AL_HEAL,10,1000,0,2000,0,IF_COMRADEHP,80
1046,DOPPELGANGER,BERSERK_ST,AL_HEAL,10,1000,0,2000,0,IF_HP,30
1046,DOPPELGANGER,RUSH_ST,AL_HEAL,10,1000,0,2000,0,IF_HP,30
1046,DOPPELGANGER,RUSH_ST,AL_INCAGI,1,500,3000,120000,NO_DISPEL,IF_HP,50
1046,DOPPELGANGER,BERSERK_ST,KN_TWOHANDQUICKEN,10,500,3000,300000,NO_DISPEL,IF_HP,20
1046,DOPPELGANGER,BERSERK_ST,NPC_SUMMONMONSTER,1,1000,3000,3600000,NO_DISPEL,IF_HP,5
1046,DOPPELGANGER,RUSH_ST,MG_FROSTDIVER,10,1000,1500,10000,NO_DISPEL,IF_RANGEATTACKED,0
1046,DOPPELGANGER,BERSERK_ST,MG_FROSTDIVER,10,1000,1500,10000,NO_DISPEL,IF_RANGEATTACKED,0
1046,DOPPELGANGER,RUSH_ST,SM_ENDURE,7,1000,0,30000,0,IF_RANGEATTACKED,0
1046,DOPPELGANGER,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
1046,DOPPELGANGER,RMOVE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
1046,DOPPELGANGER,IDLE_ST,MG_FROSTDIVER,10,800,1500,10000,NO_DISPEL,IF_RUDEATTACK,0
1046,DOPPELGANGER,RMOVE_ST,MG_FROSTDIVER,10,800,1500,10000,NO_DISPEL,IF_RUDEATTACK,0
1046,DOPPELGANGER,RUSH_ST,SM_ENDURE,7,1000,0,30000,0,IF_SKILLUSE,MG_FIREWALL
1046,DOPPELGANGER,RUSH_ST,NPC_SUMMONSLAVE,1,1000,3000,3600000,NO_DISPEL,IF_SLAVENUM,2
1046,DOPPELGANGER,BERSERK_ST,NPC_SUMMONSLAVE,1,1000,3000,3600000,NO_DISPEL,IF_SLAVENUM,2
1047,PECOPECO_EGG,IDLE_ST,NPC_EMOTION,1,500,0,10000,0,0,0
1047,PECOPECO_EGG,IDLE_ST,NPC_METAMORPHOSIS,1,1,1000,0,0,0,0
1048,THIEF_BUG_EGG,IDLE_ST,NPC_METAMORPHOSIS,1,1,1000,0,0,0,0
1049,PICKY,BERSERK_ST,NPC_FIREATTACK,1,100,0,15000,0,0,0
1049,PICKY,IDLE_ST,NPC_PROVOCATION,1,2,0,0,0,0,0
1049,PICKY,RMOVE_ST,NPC_EMOTION,1,15,0,10000,0,0,0
1050,PICKY_,BERSERK_ST,NPC_FIREATTACK,1,100,0,15000,0,0,0
1050,PICKY_,RMOVE_ST,NPC_EMOTION,1,15,0,10000,0,0,0
1052,ROCKER,BERSERK_ST,NPC_GROUNDATTACK,1,100,0,15000,0,0,0
1052,ROCKER,IDLE_ST,NPC_PROVOCATION,1,2,0,0,0,0,0
1052,ROCKER,RMOVE_ST,NPC_EMOTION,1,15,0,10000,0,0,0
1053,THIEF_BUG_,BERSERK_ST,NPC_DARKNESSATTACK,1,100,0,15000,0,0,0
1054,THIEF_BUG__,BERSERK_ST,NPC_DARKNESSATTACK,1,100,0,15000,0,0,0
1055,MUKA,BERSERK_ST,NPC_GROUNDATTACK,1,100,0,15000,0,0,0
1055,MUKA,BERSERK_ST,NPC_PIERCINGATT,1,100,0,10000,NO_DISPEL,0,0
1055,MUKA,BERSERK_ST,NPC_SPLASHATTACK,1,1000,0,0,0,IF_ENEMYCOUNT,2
1055,MUKA,RUSH_ST,NPC_CHANGEWATER,1,1000,1000,300000,NO_DISPEL,IF_HP,50
1055,MUKA,BERSERK_ST,NPC_CHANGEWATER,1,1000,1000,300000,NO_DISPEL,IF_HP,50
1056,SMOKIE,BERSERK_ST,NPC_GROUNDATTACK,1,100,0,15000,0,0,0
1056,SMOKIE,IDLE_ST,NPC_PROVOCATION,1,2,0,0,0,0,0
1056,SMOKIE,MOVEITEM_ST,NPC_EMOTION,1,15,0,10000,0,0,0
1056,SMOKIE,RUSH_ST,AL_HEAL,2,1000,0,5000,0,IF_HIDING,0
1056,SMOKIE,IDLE_ST,AL_HEAL,2,1000,0,5000,0,IF_HIDING,0
1056,SMOKIE,BERSERK_ST,TF_HIDING,1,300,1000,20000,0,IF_HP,30
1056,SMOKIE,RUSH_ST,TF_HIDING,1,300,1000,20000,0,IF_HP,30
1057,YOYO,BERSERK_ST,NPC_GROUNDATTACK,1,100,0,15000,0,0,0
1057,YOYO,IDLE_ST,AL_HEAL,1,10,3000,60000,0,0,0
1057,YOYO,RUSH_ST,NPC_PROVOCATION,1,10,0,0,0,0,0
1057,YOYO,MOVEITEM_ST,NPC_EMOTION,1,15,0,10000,0,0,0
1057,YOYO,RUSH_ST,TF_THROWSTONE,1,100,1000,10000,0,0,0
1057,YOYO,RUSH_ST,TF_THROWSTONE,1,300,1000,10000,0,IF_HP,30
1057,YOYO,IDLE_ST,TF_THROWSTONE,1,1000,1000,10000,0,IF_RUDEATTACK,0
1058,METALLER,BERSERK_ST,NPC_FIREATTACK,1,100,0,15000,0,0,0
1058,METALLER,RMOVE_ST,NPC_EMOTION,1,15,0,10000,0,0,0
1058,METALLER,BERSERK_ST,PR_LEXDIVINA,5,100,0,10000,0,0,0
1059,MISTRESS,RUSH_ST,PR_LEXDIVINA,8,300,1500,5000,NO_DISPEL,0,0
1059,MISTRESS,BERSERK_ST,PR_LEXDIVINA,8,500,1500,5000,NO_DISPEL,0,0
1059,MISTRESS,BERSERK_ST,NPC_COMBOATTACK,3,100,0,10000,0,0,0
1059,MISTRESS,BERSERK_ST,NPC_PIERCINGATT,1,200,0,5000,0,0,0
1059,MISTRESS,BERSERK_ST,NPC_GUIDEDATTACK,1,200,0,5000,0,0,0
1059,MISTRESS,BERSERK_ST,NPC_WINDATTACK,5,200,0,5000,0,0,0
1059,MISTRESS,BERSERK_ST,AL_HEAL,10,1000,0,3000,0,IF_COMRADEHP,80
1059,MISTRESS,RUSH_ST,AL_HEAL,10,1000,0,3000,0,IF_COMRADEHP,80
1059,MISTRESS,IDLE_ST,AL_HEAL,10,1000,0,3000,0,IF_COMRADEHP,80
1059,MISTRESS,BERSERK_ST,WZ_JUPITEL,8,500,1500,3000,NO_DISPEL,IF_ENEMYCOUNT,2
1059,MISTRESS,RUSH_ST,WZ_JUPITEL,8,300,1500,0,NO_DISPEL,IF_ENEMYCOUNT,2
1059,MISTRESS,BERSERK_ST,AL_HEAL,10,1000,0,2000,0,IF_HP,30
1059,MISTRESS,RUSH_ST,AL_HEAL,10,1000,0,2000,0,IF_HP,30
1059,MISTRESS,RUSH_ST,AL_INCAGI,1,500,3000,120000,NO_DISPEL,IF_HP,50
1059,MISTRESS,BERSERK_ST,KN_TWOHANDQUICKEN,10,500,3000,300000,NO_DISPEL,IF_HP,20
1059,MISTRESS,BERSERK_ST,NPC_SUMMONMONSTER,1,1000,3000,3600000,NO_DISPEL,IF_HP,5
1059,MISTRESS,BERSERK_ST,WZ_JUPITEL,8,500,1500,3000,NO_DISPEL,IF_RANGEATTACKED,0
1059,MISTRESS,RUSH_ST,WZ_JUPITEL,8,300,1500,0,NO_DISPEL,IF_RANGEATTACKED,0
1059,MISTRESS,IDLE_ST,AL_PNEUMA,1,1000,0,5000,0,IF_RANGEATTACKED,0
1059,MISTRESS,BERSERK_ST,AL_PNEUMA,1,1000,0,5000,0,IF_RANGEATTACKED,0
1059,MISTRESS,IDLE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
1059,MISTRESS,RMOVE_ST,AL_TELEPORT,1,1000,0,0,0,IF_RUDEATTACK,0
1059,MISTRESS,IDLE_ST,WZ_JUPITEL,8,800,1500,3000,NO_DISPEL,IF_RUDEATTACK,0
1059,MISTRESS,RMOVE_ST,WZ_JUPITEL,8,800,1500,3000,NO_DISPEL,IF_RUDEATTACK,0
1059,MISTRESS,RUSH_ST,WZ_JUPITEL,8,800,1500,0,NO_DISPEL,IF_SKILLUSE,MG_FIREWALL
1059,MISTRESS,BERSERK_ST,WZ_JUPITEL,8,800,1500,3000,NO_DISPEL,IF_SKILLUSE,MG_FIREWALL
1059,MISTRESS,RUSH_ST,NPC_SUMMONSLAVE,1,1000,3000,3600000,NO_DISPEL,IF_SLAVENUM,2
1059,MISTRESS,BERSERK_ST,NPC_SUMMONSLAVE,1,1000,3000,3600000,NO_DISPEL,IF_SLAVENUM,2
1060,BIGFOOT,BERSERK_ST,NPC_GROUNDATTACK,1,100,0,15000,0,0,0
1060,BIGFOOT,IDLE_ST,NPC_PROVOCATION,1,2,0,0,0,0,0
1060,BIGFOOT,RUSH_ST,NPC_EMOTION,1,15,0,10000,0,0,0
1060,BIGFOOT,BERSERK_ST,NPC_STUNATTACK,4,100,1000,10000,NO_DISPEL,0,0
1060,BIGFOOT,BERSERK_ST,NPC_STUNATTACK,4,300,1000,10000,NO_DISPEL,IF_HP,30
1060,BIGFOOT,RUSH_ST,SM_ENDURE,1,1000,0,30000,0,IF_RANGEATTACKED,0
1060,BIGFOOT,RUSH_ST,SM_ENDURE,1,1000,0,30000,0,IF_SKILLUSE,MG_FIREWALL
1061,NIGHTMARE,BERSERK_ST,NPC_TELEKINESISATTACK,5,200,0,7500,0,0,0
1062,PORING_,BERSERK_ST,NPC_HOLYATTACK,1,100,0,15000,0,0,0
1063,LUNATIC,IDLE_ST,AL_HEAL,1,10,2000,60000,0,0,0
1063,LUNATIC,IDLE_ST,NPC_PROVOCATION,1,2,0,0,0,0,0
