N,ID,JName,SType,MLV,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,HP,Item,Cast,CastLv,CastLim,Range,Ele,Dat1_1,Dat1_2,Dat1_3,Dat1_4,Dat1_5,Dat1_6,Dat1_7,Dat1_8,Dat1_9,Dat1_10,Dat2_1,Dat2_2,Dat2_3,Dat2_4,Dat2_5,Dat2_6,Dat2_7,Dat2_8,Dat2_9,Dat2_10,Range2,Icon,Job1,Req1_1,RLV1_1,Req1_2,RLV1_2,Req1_3,RLV1_3,Req1_4,RLV1_4,Req1_5,RLV1_5,Job2,Req2_1,RLV2_1,Req2_2,RLV2_2,Req2_3,RLV2_3,Req2_4,RLV2_4,Req2_5,RLV2_5,B1,BLV1,B2,BLV2,B3,BLV3,B4,BLV4,B5,BLV5,UnKnown
20,MG_LIGHTNINGBOLT,Lightning_Bolt,1,10,12,14,16,18,20,22,24,26,28,30,,,,700,,9,4,100,100,100,100,100,100,100,100,100,100,1,2,3,4,5,6,7,8,9,10,,,8454660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,MG_THUNDERSTORM,Thunder_Storm,2,10,29,34,39,44,49,54,59,64,69,74,,,,1000,,9,4,80,80,80,80,80,80,80,80,80,80,1,2,3,4,5,6,7,8,9,10,4,,8454660,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,AL_DP,Divine_Protection,0,10,,,,,,,,,,,,,,,,,,3,6,9,12,15,18,21,24,27,30,,,,,,,,,,,,,8421648,,,,,,,,,,,16384,35,1,,,,,,,,,,,,,,,,,,,
23,AL_DEMONBANE,Demon_Bane,0,10,,,,,,,,,,,,,,,,,,3,6,9,12,15,18,21,24,27,30,,,,,,,,,,,,,8421648,22,3,,,,,,,,,16384,22,3,,,,,,,,,,,,,,,,,,,
24,AL_RUWACH,Ruwatch,4,1,10,,,,,,,,,,,,,,,9,,10,,,,,,,,,,,,,,,,,,,,,,8421648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,AL_PNEUMA,Pneuma,2,1,10,,,,,,,,,,,,,,,9,,10,,,,,,,,,,,,,,,,,,,,,,8421648,27,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,AL_TELEPORT,Teleportation,4,2,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8421648,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,AL_WARP,Warp_Portal,2,4,35,32,29,26,,,,,,,,,1000,,,9,,,1,2,3,,,,,,,7,8,9,10,,,,,,,,,8421648,26,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,AL_HEAL,Heal,16,10,13,16,19,22,25,28,31,34,37,40,,,,,,9,,12,20,28,36,44,52,60,68,76,84,,,,,,,,,,,,,8421648,,,,,,,,,,,16384,248,10,23,5,,,,,,,,,,,,,,,,,
29,AL_INCAGI,Increase_Agility,16,10,18,21,24,27,30,33,36,39,42,45,,,1000,,,9,,65,80,95,110,125,140,155,170,185,200,3,4,5,6,7,8,9,10,11,12,,12,8421648,28,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,AL_DECAGI,Decrease_Agility,1,10,15,17,19,21,23,25,27,29,31,33,,,1000,,,9,,65,80,95,110,125,140,155,170,185,200,3,4,5,6,7,8,9,10,11,12,,13,8421648,29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,AL_HOLYWATER,Aqua_Benedicta,4,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8421648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,AL_CRUCIS,Signum_Crucis,4,10,35,35,35,35,35,35,35,35,35,35,,,,,,9,,130,160,190,220,250,280,310,340,370,400,12,14,16,18,20,22,24,26,28,30,9,,8421648,23,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,AL_ANGELUS,Angelus,4,10,23,26,29,32,35,38,41,44,47,50,,,3000,,,,,30,60,90,120,150,180,210,240,270,300,115,120,125,130,135,140,145,150,155,160,,9,8421648,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,AL_BLESSING,Blessing,16,10,28,32,36,40,44,48,52,56,60,64,,,,,,9,,60,80,100,120,140,160,180,200,220,240,1,2,3,4,5,6,7,8,9,10,,10,8421648,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,AL_CURE,Cure,16,1,15,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,8421648,28,2,,,,,,,,,16384,248,5,,,,,,,,,,,,,,,,,,,
36,MC_INCCARRY,Enlarge_Weight_Limit,0,10,,,,,,,,,,,,,,,,,,100,200,300,400,500,600,700,800,900,1000,,,,,,,,,,,,,263200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,MC_DISCOUNT,Discount,0,10,,,,,,,,,,,,,,,,,,93,91,89,87,85,83,81,79,77,76,,,,,,,,,,,,,263200,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MC_OVERCHARGE,Overcharge,0,10,,,,,,,,,,,,,,,,,,107,109,111,113,115,117,119,121,123,124,,,,,,,,,,,,,263200,37,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,MC_PUSHCART,Pushcart,0,10,,,,,,,,,,,,,,,,,,27,24,21,18,15,12,9,6,3,,55,60,65,70,75,80,85,90,95,100,,,263200,36,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,MC_IDENTIFY,Identify,4,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,MC_VENDING,Vending,4,10,30,30,30,30,30,30,30,30,30,30,,,,,,,,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,263200,39,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,MC_MAMMONITE,Mammonite,1,10,5,5,5,5,5,5,5,5,5,5,,,,,,1,,150,200,250,300,350,400,450,500,550,600,100,200,300,400,500,600,700,800,900,1000,,,8651808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,AC_OWL,Owl's_Eye,0,10,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,9963528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,AC_VULTURE,Vulture's_Eye,0,10,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,,,9963528,43,3,,,,,,,,,131072,,,,,,,,,,,,,,,,,,,,,
45,AC_CONCENTRATION,Improve_Concentration,4,10,25,30,35,40,45,50,55,60,65,70,,,,,,,,60,80,100,120,140,160,180,200,220,240,3,4,5,6,7,8,9,10,11,12,,3,9963528,44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,AC_DOUBLE,Double_Strafing,1,10,12,12,12,12,12,12,12,12,12,12,,,,,,15,,100,110,120,130,140,150,160,170,180,190,,,,,,,,,,,,,1574920,,,,,,,,,,,131072,44,10,,,,,,,,,,,,,,,,,,,
47,AC_SHOWER,Arrow_Shower,1,10,15,15,15,15,15,15,15,15,15,15,,,,,,9,,80,85,90,95,100,105,110,115,120,125,80,85,90,95,100,105,110,115,120,125,6,,1574920,46,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,TF_DOUBLE,Double_Attack,0,10,,,,,,,,,,,,,,,,,,5,10,15,20,25,30,35,40,45,50,100,100,100,100,100,100,100,100,100,100,,,8523840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,TF_MISS,Increase_Dodge,0,10,,,,,,,,,,,,,,,,,,3,6,9,12,15,18,21,24,27,30,,,,,,,,,,,,,8523840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,TF_STEAL,Steal,1,10,10,10,10,10,10,10,10,10,10,10,,,,,,1,,13,16,19,22,25,28,31,34,37,40,,,,,,,,,,,,,8523840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,TF_HIDING,Hiding,4,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,30,60,90,120,150,180,210,240,270,300,,,,,,,,,,,,4,8523840,50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,TF_POISON,Envenom,1,10,12,12,12,12,12,12,12,12,12,12,,,,,,3,5,115,130,145,160,175,190,205,220,235,250,,,,,,,,,,,,,8523840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,TF_DETOXIFY,Detoxify,16,1,10,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,8523840,52,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,ALL_RESURRECTION,Resurrection,16,4,60,60,60,60,,,,,,,,,,,,9,,,15,30,50,,,,,,,,,,,,,,,,,,,256,72,1,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,KN_SPEARMASTERY,Spear_Mastery,0,10,,,,,,,,,,,,,,,,,,4,8,12,16,20,24,28,32,36,40,5,10,15,20,25,30,35,40,45,50,,,16512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,KN_PIERCE,Pierce,1,10,7,7,7,7,7,7,7,7,7,7,,,,,,1,,110,120,130,140,150,160,170,180,190,200,,,,,,,,,,,,,128,55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,KN_BRANDISHSPEAR,Brandish_Spear,1,10,12,12,12,12,12,12,12,12,12,12,,,,,,2,,120,140,160,180,200,220,240,260,280,300,10,10,10,10,10,20,20,20,20,20,2,,128,63,1,58,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,KN_SPEARSTAB,Spear_Stab,1,10,9,9,9,9,9,9,9,9,9,9,,,,,,1,,115,130,145,160,175,190,205,220,235,250,4,,,,,,,,,,,,128,56,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,KN_SPEARBOOMERANG,Spear_Boomerang,1,5,10,10,10,10,10,,,,,,,,,,,9,,150,200,250,300,350,,,,,,3,5,7,9,11,,,,,,,,128,56,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,KN_TWOHANDQUICKEN,Two-Hand_Quicken,4,10,14,18,22,26,30,34,38,42,46,50,,,,,,,,30,60,90,120,150,180,210,240,270,300,,,,,,,,,,,,2,128,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,KN_AUTOCOUNTER,Auto_Counter,4,5,2,2,2,2,2,,,,,,,,,,,1,,3,6,9,12,15,,,,,,,,,,,,,,,,,,128,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,KN_BOWLINGBASH,Bowling_Bash,1,10,13,14,15,16,17,18,19,20,21,22,,,,,,1,,150,200,250,300,350,400,450,500,550,600,,,,,,,,,,,2,,128,3,5,5,10,7,3,60,10,61,5,,,,,,,,,,,,,,,,,,,,,,
63,KN_RIDING,Riding,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,16512,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,KN_CAVALIERMASTERY,Cavalry_Mastery,0,5,,,,,,,,,,,,,,,,,,60,70,80,90,100,,,,,,,,,,,,,,,,,,16512,63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PR_MACEMASTERY,Mace_Mastery,0,10,,,,,,,,,,,,,,,,,,3,6,9,12,15,18,21,24,27,30,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PR_IMPOSITIO,Imposito_Manus,16,5,13,16,19,22,25,,,,,,,,,,,9,,60,60,60,60,60,30,30,30,30,30,15,30,45,,,,,,,,,15,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PR_SUFFRAGIUM,Suffragium,16,3,8,8,8,,,,,,,,,,,,,9,,30,20,10,,,,,,,,,,,,,,,,,,,16,256,66,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PR_ASPERSIO,Aspersio,16,5,14,18,22,25,30,,,,,,,,,,,9,,60,90,120,150,180,,,,,,,,,,,,,,,,,17,256,31,1,66,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PR_BENEDICTIO,Benedictio_Sanctissimi_Sacramenti,4,5,,,,,,,,,,,,,,,,,,40,80,120,160,200,,,,,,,,,,,,,,,,,18,256,68,5,75,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PR_SANCTUARY,Sanctuary,2,10,15,18,21,24,27,30,33,36,39,40,,,5000,,,6,,4,7,10,13,16,19,22,25,28,31,100,200,300,400,500,600,777,777,777,777,,,256,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PR_SLOWPOISON,Slow_Poison,4,5,35,32,29,26,,,,,,,,,,,,9,,10,20,30,40,50,,,,,,,,,,,,,,,,,14,256,72,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PR_STRECOVERY,Status_Recovery,16,1,5,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PR_KYRIE,Kyrie_Eleison,16,10,20,20,20,25,25,25,30,30,30,35,,,2000,,,9,,120,120,120,120,120,120,120,120,120,120,,,,,,,,,,,,19,256,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PR_MAGNIFICAT,Magnificat,4,5,40,40,40,40,40,,,,,,,,4000,,,,,20,40,60,80,100,,,,,,,,,,,,,,,,,20,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PR_GLORIA,Gloria,4,5,20,20,20,20,20,,,,,,,,,,,,,10,15,20,25,30,,,,,,,,,,,,,,,,,21,256,73,4,74,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PR_LEXDIVINA,Lex_Divina,1,10,20,20,20,20,20,18,16,14,12,10,,,,,,9,,30,35,40,45,50,55,60,60,60,60,,,,,,,,,,,,,256,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PR_TURNUNDEAD,Turn_Undead,1,10,16,16,16,16,16,16,16,16,16,16,,,1000,,,9,6,100,100,100,100,100,100,100,100,100,100,1,2,3,4,5,6,7,8,9,10,,,256,54,1,76,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PR_LEXAETERNA,Lex_Aeterna,1,1,10,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,22,256,76,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PR_MAGNUS,Magnus_Exorcismus,2,10,40,42,44,46,48,50,52,54,56,58,,,15000,,,5,6,3000,3000,2000,2000,2000,2000,2000,2000,2000,4000,1,2,3,4,5,6,7,8,9,10,,,256,77,3,78,1,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,
80,WZ_FIREPILLAR,Fire_Pillar,2,10,25,25,25,25,25,25,25,25,25,25,,717,3300,-300,,9,3,30,30,30,30,30,30,30,30,30,30,3,4,5,6,7,8,9,10,11,12,1,,512,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,WZ_SIGHTRASHER,Sight_Rasher,4,10,35,37,39,41,43,45,47,49,51,53,,,1000,,,9,,120,140,160,180,200,220,240,260,280,300,1,1,2,2,3,3,4,4,5,5,5,,512,10,1,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,WZ_FIREIVY,--_Not_A_Real_Skill_--,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,WZ_METEOR,Meteor_Storm,2,10,30,34,40,44,50,54,60,64,70,74,,,15000,,,9,3,2,2,3,3,5,5,6,6,7,7,1,1,2,2,3,3,4,4,5,5,3,3,512,21,1,81,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,WZ_JUPITEL,Jupiter_Thunder,1,10,20,23,26,29,32,35,38,41,44,47,,,2000,500,,9,4,100,100,100,100,100,100,100,100,100,100,3,4,5,6,7,8,9,10,11,12,,,512,11,1,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,WZ_VERMILION,Lord_of_Vermilion,2,10,60,64,68,72,76,80,84,88,92,96,,,15500,-500,,9,4,130,160,190,220,250,280,310,340,370,400,10,10,10,10,10,10,10,10,10,10,4,,512,21,1,84,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,WZ_WATERBALL,Water_Ball,1,5,15,20,20,25,26,,,,,,,,,1000,,9,1,1,9,9,25,25,,,,,,1,2,2,3,3,,,,,,1,,512,14,1,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,WZ_ICEWALL,Ice_Wall,2,10,20,20,20,20,20,20,20,20,20,20,,,,,,9,,,,,,,,,,,,,,,,,,,,,,1,,512,15,1,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,WZ_FROSTNOVA,Frost_Nova,1,10,45,43,41,39,37,35,33,31,29,27,,,5300,-330,,9,1,38,41,44,47,50,53,56,59,66,73,3,6,9,12,15,18,21,24,27,30,3,,512,87,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,WZ_STORMGUST,Storm_Gust,2,10,78,78,78,78,78,78,78,78,78,78,,,5000,1000,,9,1,140,180,220,260,300,340,380,420,460,500,10,10,10,10,10,10,10,10,10,10,5,,512,15,1,84,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,WZ_EARTHSPIKE,Earth_Spike,1,5,12,14,16,18,20,,,,,,,,,1000,,9,2,100,100,100,100,100,,,,,,1,2,3,4,5,,,,,,,,512,16,1,,,,,,,,,65536,283,1,,,,,,,,,,,,,,,,,,,
91,WZ_HEAVENDRIVE,Heaven's_Drive,2,5,24,28,32,36,40,,,,,,,,,1000,,9,2,100,100,100,100,100,,,,,,1,2,3,4,5,,,,,,2,,512,90,3,,,,,,,,,65536,90,1,,,,,,,,,,,,,,,,,,,
92,WZ_QUAGMIRE,Quagmire,2,5,15,15,15,15,15,,,,,,,,,,,9,,5,10,15,20,25,,,,,,,,,,,,,,,,3,8,512,91,1,14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,WZ_ESTIMATION,Sense,1,1,10,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,66048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,BS_IRON,Iron_Making,0,5,,,,,,,,,,,,,,,,,,260,320,380,440,500,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,BS_STEEL,Steel_Making,0,5,,,,,,,,,,,,,,,,,,150,200,250,300,350,,,,,,,,,,,,,,,,,,1024,94,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,BS_ENCHANTEDSTONE,Enchanted_Stone_Making,0,5,,,,,,,,,,,,,,,,,,150,200,250,300,350,,,,,,,,,,,,,,,,,,1024,94,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,BS_ORIDEOCON,Oridecon_Research,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,96,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,BS_DAGGER,Dagger_Making,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,BS_SWORD,Sword_Making,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,98,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,BS_TWOHANDSWORD,Two-Handed_Sword_Making,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,BS_AXE,Axe_Making,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,99,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,BS_MACE,Mace_Making,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,103,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,BS_KNUCKLE,Knuckle_Making,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,98,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,BS_SPEAR,Spear_Making,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,98,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,BS_HILTBINDING,Hilt_Binding,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,BS_FINDINGORE,Ore_Discovery,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,105,1,95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,BS_WEAPONRESEARCH,Weapon_Research,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,105,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,BS_REPAIRWEAPON,Repair_Weapon,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,107,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,BS_SKINTEMPER,Skin_Tempering,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,BS_HAMMERFALL,Hammer_Fall,2,5,10,10,10,10,10,,,,,,,,1000,,,1,,14,18,22,26,30,,,,,,,,,,,,,,,,2,,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,BS_ADRENALINE,Adrenaline_Rush,4,5,20,23,26,29,32,,,,,,,,,,,,,30,60,90,120,150,,,,,,,,,,,,,,,,,23,1024,110,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
